text,labels,tokens
daily sunday telegraph job staff telegraph group cut needed new printing firm friday cut competition advertising revenue competition online advertising national union redundancy face strike financial time said last week redundancy national union said strike staff pay printing said nuj general nuj fitzpatrick said company consultation company planning said fitzpatrick company consultation two telegraph currently tabloid format circulation revenue telegraph announced tabloid time circulation rise since guardian planning tabloid format europe telegraph group bought last year previously international currently sale telegraph executive said two would colour month daily telegraph sunday telegraph vital said however production competition also vital many new printing colour colour colour make recent month news news international unit news world guardian group daily general announced new printing,,"['daily', 'sunday', 'telegraph', 'job', 'staff', 'telegraph', 'group', 'cut', 'needed', 'new', 'printing', 'firm', 'friday', 'cut', 'competition', 'advertising', 'revenue', 'competition', 'online', 'advertising', 'national', 'union', 'redundancy', 'face', 'strike', 'financial', 'time', 'said', 'last', 'week', 'redundancy', 'national', 'union', 'said', 'strike', 'staff', 'pay', 'printing', 'said', 'nuj', 'general', 'nuj', 'fitzpatrick', 'said', 'company', 'consultation', 'company', 'planning', 'said', 'fitzpatrick', 'company', 'consultation', 'two', 'telegraph', 'currently', 'tabloid', 'format', 'circulation', 'revenue', 'telegraph', 'announced', 'tabloid', 'time', 'circulation', 'rise', 'since', 'guardian', 'planning', 'tabloid', 'format', 'europe', 'telegraph', 'group', 'bought', 'last', 'year', 'previously', 'international', 'currently', 'sale', 'telegraph', 'executive', 'said', 'two', 'would', 'colour', 'month', 'daily', 'telegraph', 'sunday', 'telegraph', 'vital', 'said', 'however', 'production', 'competition', 'also', 'vital', 'many', 'new', 'printing', 'colour', 'colour', 'colour', 'make', 'recent', 'month', 'news', 'news', 'international', 'unit', 'news', 'world', 'guardian', 'group', 'daily', 'general', 'announced', 'new', 'printing']"
air passenger flight overbooking flight demand compensation new set compensation euro euro flight new scheduled flight budget airline airline attacked legislation could forced higher extra cost european commission two legal one european airline association international air transport association attacked bad piece legislation previously passenger could claim euro euro however scheduled flight offer compensation case overbooking offer compensation flight increase passenger compensation airline overbooking flight overbooking passenger flight passenger airline offer compensation flight cancelled delayed two airline passenger paid compensation however airline offer compensation flight cancelled delayed extraordinary airline extraordinary include bad weather airline flight take new compensation thursday airline new compensation could piece legislation among airline chief executive told programme european airline association eraa claim airline clarke eraa air transport said believe airline could flight delayed bad weather said big airline making case national would whether passenger case said new airline take bad weather added eraa clarke also warned airline would new extra cost would onto passenger cost european air passenger airline airline money paid passenger euro year onto european passenger clarke said money passenger whose disrupted passenger whose disrupted president european commission also transport said air travel passenger union people daily added travel airline passenger new,,"['air', 'passenger', 'flight', 'overbooking', 'flight', 'demand', 'compensation', 'new', 'set', 'compensation', 'euro', 'euro', 'flight', 'new', 'scheduled', 'flight', 'budget', 'airline', 'airline', 'attacked', 'legislation', 'could', 'forced', 'higher', 'extra', 'cost', 'european', 'commission', 'two', 'legal', 'one', 'european', 'airline', 'association', 'international', 'air', 'transport', 'association', 'attacked', 'bad', 'piece', 'legislation', 'previously', 'passenger', 'could', 'claim', 'euro', 'euro', 'however', 'scheduled', 'flight', 'offer', 'compensation', 'case', 'overbooking', 'offer', 'compensation', 'flight', 'increase', 'passenger', 'compensation', 'airline', 'overbooking', 'flight', 'overbooking', 'passenger', 'flight', 'passenger', 'airline', 'offer', 'compensation', 'flight', 'cancelled', 'delayed', 'two', 'airline', 'passenger', 'paid', 'compensation', 'however', 'airline', 'offer', 'compensation', 'flight', 'cancelled', 'delayed', 'extraordinary', 'airline', 'extraordinary', 'include', 'bad', 'weather', 'airline', 'flight', 'take', 'new', 'compensation', 'thursday', 'airline', 'new', 'compensation', 'could', 'piece', 'legislation', 'among', 'airline', 'chief', 'executive', 'told', 'programme', 'european', 'airline', 'association', 'eraa', 'claim', 'airline', 'clarke', 'eraa', 'air', 'transport', 'said', 'believe', 'airline', 'could', 'flight', 'delayed', 'bad', 'weather', 'said', 'big', 'airline', 'making', 'case', 'national', 'would', 'whether', 'passenger', 'case', 'said', 'new', 'airline', 'take', 'bad', 'weather', 'added', 'eraa', 'clarke', 'also', 'warned', 'airline', 'would', 'new', 'extra', 'cost', 'would', 'onto', 'passenger', 'cost', 'european', 'air', 'passenger', 'airline', 'airline', 'money', 'paid', 'passenger', 'euro', 'year', 'onto', 'european', 'passenger', 'clarke', 'said', 'money', 'passenger', 'whose', 'disrupted', 'passenger', 'whose', 'disrupted', 'president', 'european', 'commission', 'also', 'transport', 'said', 'air', 'travel', 'passenger', 'union', 'people', 'daily', 'added', 'travel', 'airline', 'passenger', 'new']"
china economy credit state report earlier year rapid expansion might also much might growth china remains breakneck year breakneck economic expansion kept growth year rapid china demand one kept world oil year government growth target economy low exchange rate china rate dollar chinese world china far international level credit taking grew year october sale still,,"['china', 'economy', 'credit', 'state', 'report', 'earlier', 'year', 'rapid', 'expansion', 'might', 'also', 'much', 'might', 'growth', 'china', 'remains', 'breakneck', 'year', 'breakneck', 'economic', 'expansion', 'kept', 'growth', 'year', 'rapid', 'china', 'demand', 'one', 'kept', 'world', 'oil', 'year', 'government', 'growth', 'target', 'economy', 'low', 'exchange', 'rate', 'china', 'rate', 'dollar', 'chinese', 'world', 'china', 'far', 'international', 'level', 'credit', 'taking', 'grew', 'year', 'october', 'sale', 'still']"
food group one europe reported profit fourth quarter euro news firm euro five year firm protection december account company debt close euro however lost revenue since company legal financial company bondi sued former euro deal brought bondi sued legal action could much euro company also sued former financial case company former,,"['food', 'group', 'one', 'europe', 'reported', 'profit', 'fourth', 'quarter', 'euro', 'news', 'firm', 'euro', 'five', 'year', 'firm', 'protection', 'december', 'account', 'company', 'debt', 'close', 'euro', 'however', 'lost', 'revenue', 'since', 'company', 'legal', 'financial', 'company', 'bondi', 'sued', 'former', 'euro', 'deal', 'brought', 'bondi', 'sued', 'legal', 'action', 'could', 'much', 'euro', 'company', 'also', 'sued', 'former', 'financial', 'case', 'company', 'former']"
india rupee hit poor country foreign currency rating rupee dollar thursday close currency past three rate india rating one notch expected market rupee upgrade positive people use back india said money moved india first two three january market like upgrade lead india foreign currency rating one notch investment increase level one level russia,,"['india', 'rupee', 'hit', 'poor', 'country', 'foreign', 'currency', 'rating', 'rupee', 'dollar', 'thursday', 'close', 'currency', 'past', 'three', 'rate', 'india', 'rating', 'one', 'notch', 'expected', 'market', 'rupee', 'upgrade', 'positive', 'people', 'use', 'back', 'india', 'said', 'money', 'moved', 'india', 'first', 'two', 'three', 'january', 'market', 'like', 'upgrade', 'lead', 'india', 'foreign', 'currency', 'rating', 'one', 'notch', 'investment', 'increase', 'level', 'one', 'level', 'russia']"
india raised limit foreign direct investment company minister maran said need fund mobile market government increase number mobile million million need investment part come foreign direct investment said maran decision limit foreign minister foreign however need government increase stake maran said chief executive chief officer chief financial officer added analyst government decision positive development investment looking take view growth indian market said analyst rapid market growth could interest indian added investment bank forecast india mobile market year indian mobile market currently company allied group group,,"['india', 'raised', 'limit', 'foreign', 'direct', 'investment', 'company', 'minister', 'maran', 'said', 'need', 'fund', 'mobile', 'market', 'government', 'increase', 'number', 'mobile', 'million', 'million', 'need', 'investment', 'part', 'come', 'foreign', 'direct', 'investment', 'said', 'maran', 'decision', 'limit', 'foreign', 'minister', 'foreign', 'however', 'need', 'government', 'increase', 'stake', 'maran', 'said', 'chief', 'executive', 'chief', 'officer', 'chief', 'financial', 'officer', 'added', 'analyst', 'government', 'decision', 'positive', 'development', 'investment', 'looking', 'take', 'view', 'growth', 'indian', 'market', 'said', 'analyst', 'rapid', 'market', 'growth', 'could', 'interest', 'indian', 'added', 'investment', 'bank', 'forecast', 'india', 'mobile', 'market', 'year', 'indian', 'mobile', 'market', 'currently', 'company', 'allied', 'group', 'group']"
trying get call centre getting hang survey suggests past message average hang patience number call call centre growing rate every year getting say diemont firm dimension data survey however call centre also sharp increase call say last year message taken way number call higher give wait one patience diemont say move mobile trying get call centre also centre growing call centre may may also credit current account diemont say increased going training survey dimension data call development average time call centre last year deal diemont good poor training call centre result call centre high rate nearly quarter every year company pay training new staff resolution rate number call query query third rate rise still well target resolution rate outsourcing call centre lowcost country like india diemont say big wait time call resolution call centre based europe developing country around world make call centre good management say however company offshore cost say money main domestic call centre half country offer better money outsourcing offshoring nearly firm survey offshore call centre give three key making move call centre part business going offshoring survey dimension data based call centre country five call centre call centre training job,,"['trying', 'get', 'call', 'centre', 'getting', 'hang', 'survey', 'suggests', 'past', 'message', 'average', 'hang', 'patience', 'number', 'call', 'call', 'centre', 'growing', 'rate', 'every', 'year', 'getting', 'say', 'diemont', 'firm', 'dimension', 'data', 'survey', 'however', 'call', 'centre', 'also', 'sharp', 'increase', 'call', 'say', 'last', 'year', 'message', 'taken', 'way', 'number', 'call', 'higher', 'give', 'wait', 'one', 'patience', 'diemont', 'say', 'move', 'mobile', 'trying', 'get', 'call', 'centre', 'also', 'centre', 'growing', 'call', 'centre', 'may', 'may', 'also', 'credit', 'current', 'account', 'diemont', 'say', 'increased', 'going', 'training', 'survey', 'dimension', 'data', 'call', 'development', 'average', 'time', 'call', 'centre', 'last', 'year', 'deal', 'diemont', 'good', 'poor', 'training', 'call', 'centre', 'result', 'call', 'centre', 'high', 'rate', 'nearly', 'quarter', 'every', 'year', 'company', 'pay', 'training', 'new', 'staff', 'resolution', 'rate', 'number', 'call', 'query', 'query', 'third', 'rate', 'rise', 'still', 'well', 'target', 'resolution', 'rate', 'outsourcing', 'call', 'centre', 'lowcost', 'country', 'like', 'india', 'diemont', 'say', 'big', 'wait', 'time', 'call', 'resolution', 'call', 'centre', 'based', 'europe', 'developing', 'country', 'around', 'world', 'make', 'call', 'centre', 'good', 'management', 'say', 'however', 'company', 'offshore', 'cost', 'say', 'money', 'main', 'domestic', 'call', 'centre', 'half', 'country', 'offer', 'better', 'money', 'outsourcing', 'offshoring', 'nearly', 'firm', 'survey', 'offshore', 'call', 'centre', 'give', 'three', 'key', 'making', 'move', 'call', 'centre', 'part', 'business', 'going', 'offshoring', 'survey', 'dimension', 'data', 'based', 'call', 'centre', 'country', 'five', 'call', 'centre', 'call', 'centre', 'training', 'job']"
leisure group rank could film unit business report claim rank shakeup result friday sunday telegraph reported deluxe film unit report added possible shakeup since rank announced study possible demerger september since chief executive group business major programme seen number business including cinema chain move left group three gaming hard rock deluxe technical rank gaming business including hard rock success also owns deluxe however business seen last year made profit success could make attractive target firm comment report said result demerger study likely set result friday analyst firm likely report drop annual pretax profit last year firm leading film cinema many year leisure including centre owns chain hard rock country,,"['leisure', 'group', 'rank', 'could', 'film', 'unit', 'business', 'report', 'claim', 'rank', 'shakeup', 'result', 'friday', 'sunday', 'telegraph', 'reported', 'deluxe', 'film', 'unit', 'report', 'added', 'possible', 'shakeup', 'since', 'rank', 'announced', 'study', 'possible', 'demerger', 'september', 'since', 'chief', 'executive', 'group', 'business', 'major', 'programme', 'seen', 'number', 'business', 'including', 'cinema', 'chain', 'move', 'left', 'group', 'three', 'gaming', 'hard', 'rock', 'deluxe', 'technical', 'rank', 'gaming', 'business', 'including', 'hard', 'rock', 'success', 'also', 'owns', 'deluxe', 'however', 'business', 'seen', 'last', 'year', 'made', 'profit', 'success', 'could', 'make', 'attractive', 'target', 'firm', 'comment', 'report', 'said', 'result', 'demerger', 'study', 'likely', 'set', 'result', 'friday', 'analyst', 'firm', 'likely', 'report', 'drop', 'annual', 'pretax', 'profit', 'last', 'year', 'firm', 'leading', 'film', 'cinema', 'many', 'year', 'leisure', 'including', 'centre', 'owns', 'chain', 'hard', 'rock', 'country']"
number people work europe economy month growth remains german unemployment rose million people seasonally adjusted rise rise expected government job creation take effect said growth still job market domestic demand said head federal labour growth third quarter still positive labour market high oil euro also negative effect said unemployment still part rate unemployment million year government put job creation top get back work paid cutting among german number among country well job outsourcing among new job top unemployment january already taking place unemployment said labour market come said job creation increase seasonally adjusted,,"['number', 'people', 'work', 'europe', 'economy', 'month', 'growth', 'remains', 'german', 'unemployment', 'rose', 'million', 'people', 'seasonally', 'adjusted', 'rise', 'rise', 'expected', 'government', 'job', 'creation', 'take', 'effect', 'said', 'growth', 'still', 'job', 'market', 'domestic', 'demand', 'said', 'head', 'federal', 'labour', 'growth', 'third', 'quarter', 'still', 'positive', 'labour', 'market', 'high', 'oil', 'euro', 'also', 'negative', 'effect', 'said', 'unemployment', 'still', 'part', 'rate', 'unemployment', 'million', 'year', 'government', 'put', 'job', 'creation', 'top', 'get', 'back', 'work', 'paid', 'cutting', 'among', 'german', 'number', 'among', 'country', 'well', 'job', 'outsourcing', 'among', 'new', 'job', 'top', 'unemployment', 'january', 'already', 'taking', 'place', 'unemployment', 'said', 'labour', 'market', 'come', 'said', 'job', 'creation', 'increase', 'seasonally', 'adjusted']"
french economy still set short government state growth three month december ahead forecast would quarterly showing since year short french government annual economic growth good quarterly continuing trend french economy government target european bank making positive also friday output december showing growth number good said economist bank positive output way trend new year service improved january high unemployment remains high,,"['french', 'economy', 'still', 'set', 'short', 'government', 'state', 'growth', 'three', 'month', 'december', 'ahead', 'forecast', 'would', 'quarterly', 'showing', 'since', 'year', 'short', 'french', 'government', 'annual', 'economic', 'growth', 'good', 'quarterly', 'continuing', 'trend', 'french', 'economy', 'government', 'target', 'european', 'bank', 'making', 'positive', 'also', 'friday', 'output', 'december', 'showing', 'growth', 'number', 'good', 'said', 'economist', 'bank', 'positive', 'output', 'way', 'trend', 'new', 'year', 'service', 'improved', 'january', 'high', 'unemployment', 'remains', 'high']"
gap hit high show department said trade deficit last year previous record deficit china country however trade gap december oil imported car even reached record level last year likely president bush economic claim administration enough unfair foreign trade example believe china currency policy claim much given china economy unfair bush administration deficit america growing faster rate world demand imported say may economic growth fourth quarter deficit reached many hold many may turn growth rose trillion rose even faster new record trillion foreign oil record global oil domestic demand dollar last year deficit even dollar back trend said economist,,"['gap', 'hit', 'high', 'show', 'department', 'said', 'trade', 'deficit', 'last', 'year', 'previous', 'record', 'deficit', 'china', 'country', 'however', 'trade', 'gap', 'december', 'oil', 'imported', 'car', 'even', 'reached', 'record', 'level', 'last', 'year', 'likely', 'president', 'bush', 'economic', 'claim', 'administration', 'enough', 'unfair', 'foreign', 'trade', 'example', 'believe', 'china', 'currency', 'policy', 'claim', 'much', 'given', 'china', 'economy', 'unfair', 'bush', 'administration', 'deficit', 'america', 'growing', 'faster', 'rate', 'world', 'demand', 'imported', 'say', 'may', 'economic', 'growth', 'fourth', 'quarter', 'deficit', 'reached', 'many', 'hold', 'many', 'may', 'turn', 'growth', 'rose', 'trillion', 'rose', 'even', 'faster', 'new', 'record', 'trillion', 'foreign', 'oil', 'record', 'global', 'oil', 'domestic', 'demand', 'dollar', 'last', 'year', 'deficit', 'even', 'dollar', 'back', 'trend', 'said', 'economist']"
